Position [um],Voltage [V]
-0.028657,-0.000000
0.005440,-0.000000
0.039538,-0.000000
0.073636,-0.000000
0.107733,-0.000000
0.141831,-0.000000
0.175929,0.000000
0.210026,0.000000
0.244124,-0.000000
0.278222,0.000000
0.312320,0.000000
0.346417,0.000000
0.380515,0.000000
0.414613,-0.000000
0.448710,0.000000
0.482808,0.000000
0.516906,-0.000000
0.551003,-0.000000
0.585101,-0.000000
0.619199,-0.000000
0.653296,-0.000000
0.687394,-0.000000
0.721492,-0.000000
0.755589,-0.000000
0.789687,-0.000000
0.823785,0.000000
0.857882,0.000000
0.891980,0.000000
0.926078,0.000000
0.960175,0.000000
0.994273,0.000000
1.028371,0.000000
1.062468,0.000000
1.096566,0.000000
1.130664,0.000000
1.164761,0.000000
1.198859,0.000000
1.232957,0.000000
1.267054,0.000000
1.301152,0.000000
1.335250,0.000000
1.369347,0.000000
1.403445,0.000000
1.437543,-0.000000
1.471640,-0.000000
1.505738,-0.000000
1.539836,-0.000000
1.573933,-0.000000
1.608031,-0.000000
1.642129,-0.000000
1.676226,-0.000000
1.710324,-0.000000
1.744422,-0.000000
1.778519,-0.000000
1.812617,-0.000000
1.846715,-0.000000
1.880812,-0.000000
1.914910,-0.000000
1.949008,-0.000000
1.983105,-0.000000
2.017203,-0.000000
2.051301,-0.000000
2.085398,0.000000
2.119496,-0.000000
2.153594,0.000000
2.187691,0.000000
2.221789,0.000000
2.255887,-0.000000
2.289984,-0.000000
2.324082,-0.000000
2.358180,-0.000000
2.392277,-0.000000
2.426375,0.000000
2.460473,0.000000
2.494570,0.000000
2.528668,0.000000
2.562766,0.000000
2.596863,-0.000000
2.630961,0.000000
2.665059,0.000000
2.699156,-0.000000
2.733254,-0.000000
2.767352,-0.000000
2.801449,-0.000000
2.835547,-0.000000
2.869645,-0.000000
2.903742,0.000000
2.937840,0.000000
2.971938,0.000000
3.006035,0.000000
3.040133,0.000000
3.074231,-0.000000
3.108328,-0.000000
3.142426,-0.000000
3.176524,-0.000000
3.210621,-0.000000
3.244719,-0.000000
3.278817,0.000000
3.312914,0.000000
3.347012,-0.000000
3.381110,-0.000000
3.415207,-0.000000
3.449305,-0.000000
3.483403,-0.000000
3.517500,-0.000000
3.551598,0.000000
3.585696,-0.000000
3.619793,-0.000000
3.653891,-0.000000
3.687989,-0.000000
3.722086,-0.000000
3.756184,0.000000
3.790282,0.000000
3.824379,0.000000
3.858477,0.000000
3.892575,-0.000000
3.926672,0.000000
3.960770,0.000000
3.994868,0.000000
4.028965,-0.000000
4.063063,-0.000000
4.097161,0.000000
4.131258,-0.000000
4.165356,-0.000000
4.199454,-0.000000
4.233551,-0.000000
4.267649,-0.000000
4.301747,-0.000000
4.335844,-0.000000
4.369942,-0.000000
4.404040,-0.000001
4.438137,-0.000000
4.472235,-0.000000
4.506333,-0.000000
4.540430,-0.000000
4.574528,-0.000000
4.608626,-0.000000
4.642723,0.000000
4.676821,0.000000
4.710919,0.000000
4.745016,-0.000000
4.779114,-0.000000
4.813212,-0.000000
4.847309,-0.000000
4.881407,-0.000000
4.915505,-0.000000
4.949602,0.000000
4.983700,0.000000
5.017798,0.000000
5.051895,0.000000
5.085993,0.000001
5.120091,0.000001
5.154188,0.000000
5.188286,0.000000
5.222384,0.000000
5.256481,0.000000
5.290579,0.000000
5.324677,0.000000
5.358774,0.000000
5.392872,0.000000
5.426970,0.000000
5.461067,0.000001
5.495165,0.000001
5.529263,0.000000
5.563360,-0.000001
5.597458,-0.000000
5.631556,-0.000000
5.665653,-0.000000
5.699751,-0.000001
5.733849,-0.000001
5.767946,-0.000001
5.802044,-0.000001
5.836142,-0.000000
5.870239,-0.000000
5.904337,-0.000001
5.938435,-0.000001
5.972532,-0.000000
6.006630,-0.000001
6.040728,-0.000000
6.074825,-0.000001
6.108923,-0.000001
6.143021,-0.000001
6.177119,-0.000001
6.211216,-0.000001
6.245314,-0.000001
6.279412,-0.000001
6.313509,-0.000000
6.347607,0.000000
6.381705,-0.000000
6.415802,-0.000000
6.449900,-0.000000
6.483998,0.000000
6.518095,0.000000
6.552193,-0.000000
6.586291,-0.000001
6.620388,-0.000001
6.654486,-0.000000
6.688584,-0.000001
6.722681,-0.000000
6.756779,-0.000001
6.790877,-0.000000
6.824974,-0.000001
6.859072,-0.000001
6.893170,-0.000000
6.927267,-0.000000
6.961365,-0.000000
6.995463,-0.000001
7.029560,-0.000001
7.063658,-0.000002
7.097756,-0.000001
7.131853,-0.000000
7.165951,-0.000000
7.200049,0.000000
7.234146,0.000000
7.268244,-0.000000
7.302342,0.000001
7.336439,0.000001
7.370537,-0.000000
7.404635,0.000000
7.438732,-0.000000
7.472830,-0.000000
7.506928,-0.000001
7.541025,0.000000
7.575123,-0.000000
7.609221,0.000001
7.643318,0.000001
7.677416,0.000001
7.711514,0.000002
7.745611,0.000002
7.779709,0.000001
7.813807,0.000001
7.847904,0.000001
7.882002,0.000001
7.916100,0.000001
7.950197,0.000000
7.984295,-0.000000
8.018393,0.000000
8.052490,0.000001
8.086588,0.000001
8.120686,0.000001
8.154783,0.000001
8.188881,0.000000
8.222979,0.000000
8.257076,-0.000000
8.291174,-0.000001
8.325272,-0.000001
8.359369,-0.000000
8.393467,-0.000000
8.427565,0.000000
8.461662,0.000001
8.495760,0.000001
8.529858,0.000002
8.563955,0.000001
8.598053,-0.000000
8.632151,-0.000001
8.666248,0.000000
8.700346,-0.000002
8.734444,-0.000001
8.768541,-0.000001
8.802639,-0.000001
8.836737,0.000000
8.870834,-0.000000
8.904932,-0.000000
8.939030,0.000001
8.973127,0.000000
9.007225,0.000001
9.041323,-0.000000
9.075420,-0.000001
9.109518,-0.000002
9.143616,-0.000003
9.177713,-0.000002
9.211811,-0.000002
9.245909,-0.000001
9.280006,-0.000001
9.314104,-0.000001
9.348202,0.000000
9.382299,-0.000002
9.416397,-0.000001
9.450495,-0.000001
9.484592,0.000000
9.518690,-0.000000
9.552788,0.000001
9.586885,-0.000001
9.620983,-0.000001
9.655081,0.000000
9.689178,-0.000000
9.723276,0.000000
9.757374,0.000001
9.791471,0.000000
9.825569,-0.000001
9.859667,0.000000
9.893764,-0.000000
9.927862,0.000000
9.961960,-0.000002
9.996057,-0.000002
10.030155,-0.000002
10.064253,-0.000000
10.098350,0.000001
10.132448,0.000001
10.166546,0.000000
10.200643,0.000001
10.234741,0.000000
10.268839,-0.000001
10.302936,-0.000001
10.337034,0.000000
10.371132,0.000001
10.405229,-0.000001
10.439327,-0.000001
10.473425,0.000002
10.507522,0.000002
10.541620,0.000002
10.575718,0.000002
10.609815,0.000002
10.643913,0.000001
10.678011,0.000002
10.712108,0.000001
10.746206,0.000000
10.780304,-0.000001
10.814401,-0.000001
10.848499,-0.000001
10.882597,-0.000001
10.916694,-0.000003
10.950792,-0.000002
10.984890,0.000000
11.018987,-0.000000
11.053085,0.000001
11.087183,0.000000
11.121280,-0.000002
11.155378,-0.000001
11.189476,-0.000000
11.223573,-0.000002
11.257671,-0.000000
11.291769,-0.000001
11.325866,0.000001
11.359964,-0.000000
11.394062,0.000001
11.428159,0.000001
11.462257,0.000003
11.496355,0.000004
11.530452,0.000005
11.564550,-0.000000
11.598648,-0.000001
11.632745,0.000003
11.666843,0.000000
11.700941,0.000001
11.735038,-0.000000
11.769136,-0.000002
11.803234,-0.000002
11.837331,-0.000002
11.871429,-0.000002
11.905527,-0.000003
11.939624,-0.000003
11.973722,-0.000004
12.007820,0.000000
12.041918,-0.000002
12.076015,-0.000000
12.110113,-0.000002
12.144211,-0.000004
12.178308,-0.000004
12.212406,-0.000004
12.246504,-0.000002
12.280601,-0.000004
12.314699,-0.000000
12.348797,-0.000000
12.382894,-0.000002
12.416992,-0.000001
12.451090,0.000001
12.485187,-0.000003
12.519285,-0.000003
12.553383,-0.000002
12.587480,-0.000003
12.621578,-0.000003
12.655676,0.000000
12.689773,-0.000004
12.723871,-0.000006
12.757969,-0.000005
12.792066,-0.000003
12.826164,-0.000001
12.860262,-0.000002
12.894359,-0.000001
12.928457,-0.000003
12.962555,-0.000005
12.996652,-0.000006
13.030750,-0.000004
13.064848,-0.000003
13.098945,-0.000002
13.133043,-0.000004
13.167141,-0.000005
13.201238,-0.000003
13.235336,-0.000002
13.269434,-0.000002
13.303531,-0.000002
13.337629,-0.000003
13.371727,-0.000000
13.405824,0.000002
13.439922,-0.000001
13.474020,0.000001
13.508117,0.000003
13.542215,0.000001
13.576313,0.000001
13.610410,0.000001
13.644508,0.000002
13.678606,0.000002
13.712703,0.000004
13.746801,0.000003
13.780899,0.000003
13.814996,0.000000
13.849094,0.000001
13.883192,0.000003
13.917289,-0.000003
13.951387,0.000000
13.985485,0.000002
14.019582,0.000001
14.053680,-0.000001
14.087778,-0.000003
14.121875,-0.000002
14.155973,0.000002
14.190071,-0.000001
14.224168,0.000001
14.258266,-0.000002
14.292364,-0.000002
14.326461,-0.000002
14.360559,-0.000002
14.394657,-0.000003
14.428754,-0.000004
