Reference detector [V],Primary detector [V]
2.384506,-0.000125
2.999192,0.001614
3.615961,0.001013
4.186552,0.000116
4.666939,0.001685
5.025423,0.000046
5.237506,0.001987
5.288374,-0.000457
5.172679,0.001914
4.905916,0.002124
4.497085,0.003076
3.992143,0.002735
3.402163,0.001770
2.795109,0.001539
2.180179,0.000247
1.621954,0.000291
1.160002,0.001309
0.818654,0.001640
0.624159,0.000145
0.587621,0.000794
0.711152,0.000672
0.994125,-0.000864
1.399877,0.001232
1.915569,0.000483
2.494540,-0.001075
3.117231,-0.000103
3.725122,0.000905
4.276358,0.000573
4.734457,0.000033
5.063714,0.001344
5.255183,0.000859
5.283374,0.001384
5.153317,-0.000067
4.865932,-0.001068
4.451823,0.000467
3.915953,0.001391
3.317600,0.000290
2.692179,0.000135
2.080903,-0.001519
1.534143,0.000824
1.085032,-0.000347
0.766336,-0.000291
0.600026,0.001071
0.602845,0.001434
0.772550,0.002108
1.098961,0.000883
1.551219,0.000855
2.114415,0.000253
2.741913,0.000703
3.385470,-0.000014
3.976948,0.000210
4.495631,0.000055
4.913781,-0.000825
5.185965,-0.000332
5.289922,-0.000228
5.221335,-0.000545
4.984558,-0.001163
4.599123,0.000074
4.105260,-0.001023
3.506809,-0.000864
2.886383,-0.000170
2.259723,0.000363
1.678520,-0.002106
1.197987,-0.000449
0.836321,-0.000677
0.629060,-0.000231
0.585492,0.000519
0.703938,0.001177
0.983197,0.000440
1.399567,0.002294
1.920555,0.002521
2.514118,0.001881
3.131822,0.002339
3.747789,0.001145
4.297333,0.000712
4.767825,0.002309
5.095429,0.001311
5.267497,0.001725
5.274260,0.001649
5.107903,-0.000744
4.785813,-0.000983
4.333086,-0.000757
3.781635,0.002085
3.162880,0.002095
2.529618,0.000141
1.915897,0.001542
1.396488,-0.000183
0.969480,0.000106
0.696048,0.000396
0.582948,-0.000386
0.645935,0.000439
0.876190,0.000993
1.254470,0.000294
1.760182,-0.000480
2.352322,0.000462
2.986596,0.000264
3.617164,-0.000502
4.203782,-0.000266
4.692861,-0.000675
5.053222,-0.000116
5.252942,-0.001784
5.279221,-0.001767
5.135775,-0.000902
4.821465,-0.000997
4.372960,-0.001806
3.824991,-0.000138
3.210104,-0.000603
2.563118,0.001600
1.960034,0.001211
1.426673,-0.000659
1.000344,-0.000134
0.715227,-0.000604
0.585423,-0.001073
0.626869,-0.000314
0.835542,-0.001454
1.197971,-0.001251
1.682092,-0.000601
2.260784,-0.001320
2.889555,-0.000146
3.501007,0.000068
4.085247,0.001043
4.593913,-0.000035
4.975943,0.000630
5.213667,0.000796
5.291344,-0.000555
5.205083,-0.001619
4.954030,-0.000397
4.561609,-0.000944
4.058371,-0.000443
3.483541,0.000596
2.855186,0.000840
2.227779,0.000526
1.663310,-0.000616
1.176302,0.000854
0.819823,0.000123
0.623204,0.000418
0.586559,-0.000112
0.716958,0.000309
1.008248,0.001741
1.438441,-0.000289
1.971361,-0.000139
2.574415,-0.000789
3.207317,-0.000736
3.820344,-0.000539
4.360955,-0.000662
4.809935,-0.001912
5.115118,0.000458
5.273556,0.001140
5.267540,0.000705
5.099027,0.001678
4.784600,0.000294
4.324951,0.000326
3.763068,0.000632
3.151446,0.000412
2.522290,0.001592
1.929083,0.001147
1.408979,-0.000371
0.987590,-0.001364
0.711604,-0.001708
0.587455,0.000076
0.624404,0.001494
0.821684,0.001557
1.165018,0.000520
1.637629,0.000737
2.193246,0.001088
2.797316,0.000546
3.408156,0.001228
4.001749,0.000508
4.513840,-0.001189
4.914732,0.000290
5.179143,-0.000395
5.289485,-0.001450
5.236693,0.000288
5.028346,-0.000738
4.675474,0.001682
4.193582,0.000543
3.622102,0.000998
3.011685,0.001017
2.397493,0.001234
1.820744,-0.001184
1.308602,-0.000391
0.923561,0.000393
0.673417,0.002063
0.579843,0.000277
0.652592,0.000775
0.880342,0.000956
1.251312,0.001702
1.747063,0.002500
2.311681,0.002779
2.926917,0.002755
3.547577,0.003198
4.125648,0.002226
4.618311,0.003510
4.990313,0.002713
5.220404,0.001824
5.291603,0.001759
5.197068,0.001757
4.933801,0.001000
4.542023,0.001211
4.025396,0.002090
3.440784,0.001888
2.821485,0.002594
2.207118,0.001877
1.656232,0.001853
1.181947,0.000736
0.830672,0.000159
0.625518,-0.000711
0.585966,-0.000095
0.706683,-0.000997
0.991336,-0.001459
1.403055,-0.002132
1.910133,-0.000863
2.509383,-0.000746
3.121651,-0.000138
3.731066,-0.001698
4.287195,-0.002544
4.735361,-0.001775
5.073077,-0.002616
5.258315,-0.001582
5.281085,-0.002063
5.143077,-0.001237
4.847470,-0.001455
4.421127,-0.001090
3.901536,-0.000399
3.290441,0.001122
2.679626,-0.000501
2.087543,-0.000192
1.537623,0.000316
1.080132,0.000866
0.770500,-0.001069
0.601534,-0.000141
0.598702,-0.000401
0.757534,-0.000926
1.078675,-0.000761
1.513964,-0.000934
2.055378,0.001357
2.669105,-0.000324
3.280792,0.000455
3.891907,0.000075
4.418341,0.001548
4.858895,0.001442
5.148865,0.000217
5.284167,0.000711
5.247819,0.000870
5.047218,0.000317
4.682984,0.000118
4.209094,-0.000793
3.628658,0.001669
3.009634,-0.001402
2.395929,0.000093
1.812041,0.000588
1.291885,0.000180
0.903035,0.000216
0.657759,0.000135
0.579684,0.000273
0.670496,-0.000506
0.926709,0.001915
1.326964,0.000387
1.840557,0.000806
2.457536,0.001075
3.083604,0.000919
3.704725,0.001589
4.278724,0.000578
4.757246,0.000941
5.091630,0.001533
5.266181,0.002112
5.274945,0.001534
5.112631,0.000298
4.787007,0.001496
4.338532,0.001863
3.792402,0.001052
3.178709,0.001733
2.545489,0.000283
1.917592,0.000276
1.390440,0.001863
0.962240,0.001101
0.688749,0.002287
0.581113,0.002337
0.645198,0.001761
0.874444,0.001474
1.260944,-0.000458
1.764916,0.000148
2.365549,-0.000650
3.017699,-0.000704
3.651134,-0.000413
4.227877,-0.000049
4.717288,0.000281
5.075443,-0.001496
5.261049,-0.000675
5.275893,-0.000790
5.112911,0.001416
4.782339,-0.000080
4.312874,0.000242
3.750944,0.000435
3.121682,-0.001202
2.466514,0.000003
1.849059,0.000178
1.313941,-0.000254
0.912252,-0.001732
0.657220,0.001206
0.578321,0.000266
0.679132,0.002056
0.944556,0.000193
1.363408,0.002145
1.907588,0.001447
2.530096,-0.000980
3.176725,-0.000568
3.797748,0.000752
4.386718,-0.000143
4.837635,-0.001989
5.143068,0.000198
5.285081,-0.000734
5.248588,-0.002267
5.035487,-0.001733
4.679806,-0.000099
4.180297,0.000736
3.586974,-0.000242
2.953083,0.000006
2.311841,0.001219
1.714795,-0.000182
1.214631,0.001545
0.840238,-0.001146
0.627323,-0.000652
0.586365,-0.001334
0.721553,-0.002079
1.030730,-0.001785
1.476202,-0.000388
2.024985,-0.000401
2.646994,0.000423
3.313432,-0.000090
3.927639,-0.000002
4.480644,0.001014
4.909769,0.000227
5.188390,0.001689
5.291864,0.000334
5.216179,-0.002047
4.953092,-0.000926
4.547965,0.000967
4.012788,0.000339
3.392471,0.000377
2.736858,-0.000162
2.098248,0.001375
1.519391,0.001588
1.049667,0.001869
0.729139,0.002339
0.588355,0.001153
0.628056,0.001586
0.850153,0.001027
1.235693,0.000588
1.751679,0.001811
2.362526,0.001429
3.024202,0.001307
3.687000,0.000698
4.283179,0.001174
4.764206,0.001706
5.105107,0.001722
5.276953,0.002894
5.256801,0.001864
5.047108,0.001976
4.679429,0.001406
4.175037,0.000232
3.574708,0.000869
2.921826,0.001489
2.266481,0.000742
1.669208,0.000970
1.171196,0.000287
0.806975,0.000778
0.611285,0.000560
0.597409,0.002076
0.767115,0.002231
1.099098,0.000326
1.587864,-0.001083
2.173837,-0.000355
2.835997,-0.000081
3.503337,-0.000152
4.121933,-0.000800
4.645696,-0.000111
5.031317,-0.001265
5.249152,-0.000588
5.283203,-0.000033
5.127690,-0.000832
4.789987,0.000289
4.298910,0.000433
3.700737,0.000253
3.048172,-0.000279
2.370004,0.000422
1.741948,-0.000390
1.215654,-0.000156
0.831710,0.000198
0.618610,-0.001064
0.596249,-0.000128
0.772742,0.000487
1.127912,-0.000309
1.626965,-0.000448
2.249148,-0.000611
2.928398,-0.000305
3.601755,-0.000238
4.225170,-0.000434
4.734596,0.000428
5.094030,-0.000643
5.274800,0.001052
5.259877,-0.001660
5.053800,0.001303
4.668064,-0.001003
4.145312,0.000164
3.508343,0.000454
2.840085,0.000843
2.163451,-0.000734
1.562838,0.001585
1.075519,0.000420
0.744993,-0.000039
0.589855,0.000480
0.628583,-0.000825
0.854118,-0.000848
1.252156,0.000430
1.788298,-0.000204
2.429274,-0.001604
3.102279,-0.000773
3.768444,0.000116
4.356146,-0.000035
4.832153,0.000075
5.152350,0.001750
5.288700,0.000590
5.230543,0.000884
4.977821,0.001304
4.556939,0.000429
4.004678,-0.001510
3.369565,0.000266
2.683138,-0.000345
2.032819,0.001456
1.441985,0.000581
